ID Servicio,Servicio,Precio,Duración,AgendaServicios
HSS,Hand Stripping - Chico,$MXN800,,"2240,2411,2712,3142,3348,4049,4588,4590"
HSX,Hand Stripping - Extra Grande,$MXN1200,,
HSL,Hand Stripping - Grande,$MXN1050,,2769
HSM,Hand Stripping - Mediano,$MXN900,,4991
KSS,Keratina Chico - Pelo Corto,$MXN120,,"2293,2294"
KSL,Keratina Chico - Pelo Largo,$MXN200,,"1839,2369"
KSM,Keratina Chico - Pelo Medio,$MXN160,,
KXS,Keratina Extra Grande - Pelo Corto,$MXN180,,
KXL,Keratina Extra Grande - Pelo Largo,$MXN260,,
KXM,Keratina Extra Grande - Pelo Medio,$MXN220,,
KGS,Keratina Grande - Pelo Corto,$MXN160,,
KGL,Keratina Grande - Pelo Largo,$MXN240,,1812
KGM,Keratina Grande - Pelo Medio,$MXN200,,
KMC,Keratina Mediano - Pelo Corto,$MXN140,,
KML,Keratina Mediano - Pelo Largo,$MXN220,,
KMM,Keratina Mediano - Pelo Medio,$MXN180,,1838
AMT,Masaje y aromaterapia Mascotas,$MXN250,1:00,
MCSC,Mix Coat - Chico Pelo Corto,$MXN430,,"1718,1731,2071,2174,2356,2416,2417,2835,2836,3026,3264,3286,3340,3348,3378,3689,4049,4497,4548,4589,4590,4609,4821,4872"
MCSL,Mix Coat - Chico Pelo Largo,$MXN490,,"2176,2221,2222,2250,2405,2582,2768,2856,3019,3020,3150,4325,4326,4446,4447,4484"
MCSM,Mix Coat - Chico Pelo Medio,$MXN460,,"1933,2200,2279,2472,2709,2775,2875,2931,2965,3039,3114,3115,3127,3154,3191,3192,3253,3310,3481,3525,3531,3554,3561,3562,3564,3606,3681,3693,3764,3802,3842,3857,3950,3972,4021,4068,4111,4157,4158,4167,4168,4241,4296,4306,4422,4423,4438,4495,4523,4569,4613,4717,4718,4800,4829,4864,4964,4965,4974,4991,4995"
MCXC,Mix Coat - Extra Grande Pelo Corto,$MXN630,,
MCXL,Mix Coat - Extra Grande Pelo Largo,$MXN690,,"2498,2499,2518,4397"
MCXM,Mix Coat - Extra Grande Pelo Medio,$MXN660,,1994
MCLC,Mix Coat - Grande Pelo Corto,$MXN530,,"2026,2359,4608,4993"
MCLL,Mix Coat - Grande Pelo Largo,$MXN590,,"1744,1809,1810,1869,1875,2067,2075,2122,3890,4425,4478"
MCLM,Mix Coat - Grande Pelo Medio,$MXN560,,"1958,2295,3098,3259,4160"
MCMC,Mix Coat - Mediano Pelo Corto,$MXN480,,"1944,2072,4921,4958"
MCML,Mix Coat - Mediano Pelo Largo,$MXN540,,"2322,2825,3924"
MCMM,Mix Coat - Mediano Pelo Medio,$MXN510,,"1855,1872,1873,1922,1932,2066,2118,2353,2520,2526,2569,2656,2686,2784,2826,2847,2877,2912,2962,3022,3027,3107,3121,3178,3203,3271,3381,3382,3391,3620,3634,3796,3926,3962,3988,4086,4141,4165,4191,4192,4210,4211,4212,4234,4235,4398,4421,4464,4476,4482,4522,4587,4650,4664,4764"
PWD,Pawdicure (Pintado de Uñas),$MXN100,0:45,
PRSC,Proteina Chico - Pelo Corto,$MXN150,,4738
PRSL,Proteina Chico - Pelo Largo,$MXN230,,"1990,1991,1992,2008,2268,2269,2270,2427,3930,3931,3932,4413,4414,4415,4591"
PRSM,Proteina Chico - Pelo Medio,$MXN190,,"2986,2987,3293,4601"
PRXC,Proteina Extra Grande - Pelo Corto,$MXN250,,
PRXL,Proteina Extra Grande - Pelo Largo,$MXN320,,
PRXM,Proteina Extra Grande - Pelo Medio,$MXN280,,
PRGC,Proteina Grande - Pelo Corto,$MXN210,,
PRGL,Proteina Grande - Pelo Largo,$MXN290,,3262
PRGM,Proteina Grande - Pelo Medio,$MXN250,,
PRMC,Proteina Mediano - Pelo Corto,$MXN180,,
PRML,Proteina Mediano - Pelo Largo,$MXN260,,
PRMM,Proteina Mediano - Pelo Medio,$MXN220,,"2063,2426,3274,3280"
PUCC,Puppies - Chico Pelo Corto,$MXN350,,"1854,2205"
PUCL,Puppies - Chico Pelo Largo,$MXN410,,"1722,1778,1779,2053,2212,2309"
PUCM,Puppies - Chico Pelo Medio,$MXN380,,"1754,2019,2264,2301,2340,2376,2546,2614,2669,2732,2748,2824,2920"
QRSC,Quick Refresh - Chico Pelo Corto,$MXN330,1:30,"6,25,28,35,41,53,67,70,86,87,94,101,108,116,115,120,132,144,146,147,26,32,29,33,31,30,153,154,161,163,164,165,173,175,180,181,191,195,203,212,220,221,223,225,227,228,235,236,238,243,251,257,259,268,269,270,275,276,280,282,289,298,299,302,310,315,317,318,319,326,329,336,338,340,341,344,350,354,373,374,377,378,379,380,381,394,395,402,403,405,407,424,429,430,434,435,443,444,448,455,461,464,466,468,474,475,477,481,483,485,486,488,489,491,492,498,499,502,503,504,509,510,515,520,521,523,527,531,534,535,543,547,551,561,562,566,567,568,575,576,587,589,595,614,623,624,626,627,634,635,636,637,640,645,649,651,652,662,663,664,665,668,676,677,678,681,682,684,685,686,695,694,701,704,706,707,719,727,736,738,740,741,744,745,752,760,761,767,768,771,772,774,777,778,781,783,791,792,793,794,799,805,806,815,816,817,818,820,822,838,840,841,842,853,854,856,863,865,880,883,884,885,887,888,889,894,1029,902,903,906,908,919,922,923,924,930,931,933,945,949,950,952,957,967,973,974,975,977,978,979,986,993,996,998,999,1006,1009,1010,1011,1014,1020,1024,1025,1026,1031,1033,1034,1037,1042,1043,1044,1045,1048,1052,1061,1062,1068,1072,1074,156,1076,1081,1082,1083,1084,1085,1091,1092,1093,1103,1104,1105,1106,1108,1116,1117,1118,1119,1122,1135,1137,1140,1141,1144,1145,1146,1149,1150,1158,1159,1160,1162,1163,1164,1166,1177,1077,1178,1180,1186,1187,1189,1194,1196,1198,1206,1207,1209,1210,1216,1221,1222,1226,1228,1229,1230,1231,1235,1242,1243,1245,1248,1254,1255,1256,1267,1269,1271,1282,1283,1285,1286,1291,1292,1293,1294,1295,1297,1298,1299,1307,1310,1312,1313,1315,1320,1321,1322,1325,1328,1329,1330,1331,1333,1336,1338,1341,1342,1345,1348,1349,1350,1351,1352,1353,1354,1356,1357,1362,1365,1366,1373,1377,1378,1379,1382,1383,1384,1388,1391,1392,1394,1395,1396,1397,1401,1402,1409,1410,1411,1412,1414,1415,1416,1417,1420,1421,1422,1425,1426,1427,1428,1429,1430,1431,1432,1433,1434,1440,1441,1448,1454,1455,1456,1457,1459,1462,1463,1466,1469,1470,1476,1483,1484,1485,1486,1490,1491,1492,1494,1495,1500,1506,1507,1028,1509,1510,1512,1514,1515,1523,1525,1526,1527,1530,1522,1533,1538,1540,1544,1545,1546,1555,1556,1562,1563,1564,1565,1568,1572,1575,1576,1580,1585,1586,1587,1588,1591,1593,1594,1599,1601,1602,1605,1611,1612,1613,1614,1617,1621,1622,1623,1624,1627,1629,1630,1631,1632,1633,1634,1635,1636,1637,1639,1641,1642,1650,1653,1657,1658,1661,1664,1665,1666,1667,1668,1669,1670,1671,1682,1685,1686,1687,1688,1691,1693,1694,1695,1696,1697,1699,1709,1715,1789,1795,1848,1858,1866,1868,1906,1913,1907,1924,1959,2036,2084,2098,2109,2127,2230,2240,2266,2411,2423,2424,2434,2455,2510,2539,2564,2567,2568,2609,2610,2616,2631,2696,2725,2757,2758,2769,2776,2780,2793,2811,2882,2883,2885,2949,2952,2975,3003,3016,3033,3061,3090,3106,3111,3112,3118,3134,3135,3136,3137,3142,3156,3157,3198,3199,3215,3221,3268,3277,3278,3292,3316,3335,3424,3432,3460,3489,3490,3500,3509,3543,3544,3696,3697,3770,3771,3805,3873,3874,3942,4323,4324,4364,4365,4543,4725,4786,4787,4819,4820,4862,4863,4900,4901,4942,4943"
QRCL,Quick Refresh - Chico Pelo Largo,$MXN390,,"1710,1711,1739,1743,1760,1761,1871,1899,1908,1935,1960,1961,1962,1963,1968,1988,1990,1991,1992,2006,2013,2014,2043,2056,2065,2068,2105,2107,2114,2138,2152,2180,2226,2227,2228,2229,2262,2267,2268,2269,2270,2308,2324,2335,2394,2441,2468,2485,2507,2508,2509,2533,2538,2605,2618,2632,2655,2657,2710,2714,2722,2723,2724,2742,2746,2749,2750,2767,2777,2787,2805,2808,2809,2810,2816,2817,2822,2831,2888,2890,2901,2937,2940,2955,2969,2995,3018,3030,3031,3032,3044,3072,3074,3080,3081,3109,3110,3122,3126,3148,3208,3209,3210,3260,3302,3407,3443,3473,3524,3551,3566,3655,3759,3808,3816,3846,3886,3893,3894,3918,3930,3931,3932,3958,4002,4019,4026,4028,4038,4067,4202,4258,4289,4302,4431,4432,4433,4434,4454,4483,4634,4635,4704,4709"
QRCM,Quick Refresh - Chico Pelo Medio,$MXN360,,"1717,1720,1883,1993,2021,2042,2125,2132,2187,2237,2241,2284,2285,2306,2383,2384,2385,2430,2440,2476,2514,2516,2576,2647,2654,2677,2694,2712,2716,2929,3007,3050,3124,3173,3339,3392,3433,3434,3435,3479,3496,3546,3600,3703,3725,3726,3727,3728,3734,3742,3763,3800,3807,3829,3830,3836,3863,3922,3923,3952,3992,3995,3996,3997,3998,4011,4012,4097,4098,4114,4195,4208,4209,4232,4238,4239,4253,4254,4322,4450,4466,4517,4694,4695,4739,4740,4884,4885"
QRXC,Quick Refresh - Extra Grande Pelo Corto,$MXN530,3:00,"24,177,339,417,432,447,453,512,542,586,590,621,722,746,747,804,827,828,839,920,932,982,1004,1021,1099,1102,1129,1130,1151,1188,1203,1259,1272,1473,1513,1620,2395,2396"
QRXL,Quick Refresh - Extra Grande Pelo Largo,$MXN590,,"2011,2033,2311,2373,2422,2527,2530,2598,2718,2772,2870,3037,3204,3205,3427,4078,4102,4197,4213,4344,4377,4404"
QRXM,Quick Refresh - Extra Grande Pelo Medio,$MXN560,,"2116,2595"
QRLC,Quick Refresh - Grande Pelo Corto,$MXN430,2:30,"19,36,39,48,49,50,52,55,59,60,65,75,76,77,79,89,95,96,99,100,102,104,107,110,128,130,133,134,40,57,66,157,152,168,176,179,185,193,196,197,207,208,210,214,226,229,231,234,241,247,254,258,260,261,264,265,266,267,274,279,285,291,295,300,303,308,309,301,316,323,325,327,334,343,349,351,353,355,356,357,363,364,365,366,387,393,400,409,410,411,414,449,457,467,476,532,537,540,550,553,573,594,612,615,653,683,739,743,780,819,850,879,897,915,948,961,987,1002,1017,1030,1059,1155,1168,1223,1240,1246,1264,1268,1284,1306,1308,1314,1317,1318,1319,1326,1337,1346,337,1369,1386,1398,1404,1406,1437,1468,1480,1481,1489,1520,1524,1528,1537,1542,1543,1550,1553,1559,1582,1589,1592,1595,1607,1616,1625,1628,1647,1659,1660,1673,1674,1676,1692,1774,1787,2055,3304,3929,4046"
QRLL,Quick Refresh - Grande Pelo Largo,$MXN490,,"1828,1862,1896,1934,2029,2123,2189,2348,2372,2392,2409,2467,2517,2578,2599,2612,2786,2820,2881,2956,3046,3084,3200,3222,3317,3319,3511,3545,3596,3704,3809,3838,4009,4137,4169,4278,4287,4696,4733"
QRLM,Quick Refresh - Grande Pelo Medio,$MXN460,,"2115,2601,2778,2782,2961,2992,3065,3492,3866"
